Sentence_ID	Closest_TB1	Closest_TB2	Closest_TB3	Closest_TB4	Closest_TB5	Closest_TB6
1	0.8868	0.8848	0.9199	0.8249	0.8842	0.9919
2	0.8354	0.8324	0.9311	0.7594	0.8372	0.9897
3	0.7293	0.6670	0.8833	0.7401	0.8049	0.9716
4	0.8553	0.8550	0.9249	0.7842	0.8538	0.9904
5	0.8165	0.8084	0.9421	0.7342	0.8247	0.9891
6	0.8169	0.8257	0.9733	0.7511	0.7802	0.9880
7	0.7987	0.7943	0.9746	0.7299	0.8230	0.9902
8	0.8165	0.8084	0.9421	0.7342	0.8247	0.9891
9	0.7753	0.7772	0.9691	0.5562	0.8120	0.9892
10	0.7997	0.7890	0.9538	0.7177	0.8185	0.9900
11	0.7897	0.7774	0.9711	0.7173	0.8163	0.9891
12	0.7897	0.7774	0.9711	0.7173	0.8163	0.9891
13	0.7522	0.7250	0.8611	0.6098	0.7347	0.9698
14	0.8514	0.8344	0.9706	0.6667	0.9158	0.9880
15	0.7008	0.7217	0.8385	0.5703	0.7401	0.9722
16	0.8165	0.8084	0.9421	0.7342	0.8247	0.9891
17	0.7897	0.7774	0.9711	0.7173	0.8163	0.9891
18	0.8165	0.8084	0.9421	0.7342	0.8247	0.9891
19	0.8165	0.8084	0.9421	0.7342	0.8247	0.9891
20	0.8062	0.7989	0.9754	0.7637	0.8280	0.9902
21	0.7750	0.7723	0.9713	0.7176	0.8105	0.9891
22	0.7738	0.7815	0.9754	0.7253	0.7877	0.9870
23	0.7753	0.7772	0.9691	0.5562	0.8120	0.9892
24	0.8165	0.8159	0.9689	0.7463	0.8238	0.9890
25	0.7522	0.7547	0.9749	0.4870	0.7906	0.9900
26	0.7897	0.7774	0.9711	0.7173	0.8163	0.9891
27	0.7897	0.7774	0.9711	0.7173	0.8163	0.9891
